title,console,genre,publisher,developer,critic_score,total_sales,na_sales,pal_sales,other_sales,release_date,year
The Godfather II,PS3,Adventure,Electronic Arts,EA Redwood Shores,6.4,0.74,0.41,0.21,0.1,2009-04-07,2009.0
Sonic Forces,NS,Platform,Sega,Sonic Team,5.4,0.74,0.39,0.27,0.06,2017-11-07,2017.0
Need for Speed: Payback,XOne,Racing,Electronic Arts,Ghost Games,5.9,0.73,0.42,0.24,0.07,2017-11-10,2017.0
WWE SmackDown vs. Raw 2010,Wii,Fighting,THQ,JAKKS Pacific,7.8,0.73,0.49,0.17,0.06,2009-10-20,2009.0
Katamari Damacy,PS2,Puzzle,Namco,Namco,8.5,0.73,0.47,0.02,0.08,2004-09-21,2004.0
Brink,PS3,Shooter,Bethesda Softworks,Splash Damage,7.1,0.73,0.29,0.32,0.12,2011-05-10,2011.0
Final Fantasy XIII-2,X360,Role-Playing,Square Enix,Square Enix,7.9,0.73,0.36,0.29,0.06,2012-01-31,2012.0
Star Ocean: The Last Hope International,PS3,Role-Playing,Square Enix,tri-Ace,8.1,0.73,0.28,0.15,0.07,2010-02-09,2010.0
NCAA Football 07,X360,Sports,Electronic Arts,Electronic Arts,8.0,0.73,0.67,0.0,0.06,2006-07-18,2006.0
MLB 10: The Show,PS3,Sports,Sony Computer Entertainment,SCEA San Diego Studios,8.6,0.73,0.67,0.0,0.06,2010-03-02,2010.0
NHL 11,X360,Sports,EA Sports,EA Canada,8.8,0.73,0.61,0.07,0.05,2010-09-07,2010.0
Madden NFL 11,Wii,Sports,EA Sports,EA Tiburon,6.8,0.73,0.68,0.0,0.05,2010-08-10,2010.0
MLB 14 The Show,PS4,Sports,Sony Computer Entertainment,SCE San Diego Studio,8.3,0.73,0.59,0.0,0.14,2014-05-06,2014.0
Crysis 2,PC,Shooter,Electronic Arts,Crytek,8.7,0.73,0.16,0.45,0.12,2011-03-22,2011.0
MLB 09: The Show,PS3,Sports,Sony Computer Entertainment,SCE San Diego Studio,8.9,0.72,0.66,0.0,0.06,2009-03-03,2009.0
Indiana Jones and the Staff of Kings,Wii,Action,LucasArts,Artificial Mind and Movement,5.1,0.72,0.36,0.29,0.07,2009-06-09,2009.0
Monster Hunter Generations Ultimate,NS,Action,Capcom,Capcom,7.7,0.72,0.27,0.14,0.04,2018-08-28,2018.0
XCOM: Enemy Unknown,PC,Strategy,2K Games,Firaxis Games,9.0,0.72,0.28,0.37,0.07,2012-10-09,2012.0
Blur,PS3,Racing,Activision,Bizarre Creations,8.3,0.72,0.22,0.37,0.12,2010-05-25,2010.0
F1 2011,X360,Racing,Codemasters,Codemasters Birmingham,8.5,0.72,0.11,0.5,0.09,2011-09-20,2011.0
Mx vs. ATV Reflex,X360,Racing,THQ,Rainbow Studios,7.4,0.72,0.52,0.14,0.06,2009-12-01,2009.0
James Bond 007: Agent Under Fire,GC,Shooter,Electronic Arts,EA Redwood Shores,7.5,0.72,0.56,0.15,0.02,2002-03-13,2002.0
Rabbids Go Home,DS,Platform,Ubisoft,Ubisoft Montpellier,8.8,0.72,0.35,0.3,0.07,2009-11-03,2009.0
Kirby: Canvas Curse,DS,Platform,Nintendo,HAL Laboratory,8.9,0.72,0.36,0.0,0.03,2005-06-13,2005.0
Battlefield: Bad Company 2,PC,Shooter,Electronic Arts,EA Digital Illusions CE,8.8,0.72,0.19,0.53,0.0,2010-03-02,2010.0
James Cameron's Avatar: The Game,Wii,Action,Ubisoft,Ubisoft Montreal,5.9,0.72,0.32,0.32,0.07,2009-12-01,2009.0
Tiger Woods PGA Tour 07,PS2,Sports,EA Sports,EA Redwood Shores,7.8,0.72,0.6,0.02,0.1,2006-10-10,2006.0
Madden NFL 10,Wii,Sports,EA Sports,EA Tiburon,7.5,0.72,0.62,0.04,0.06,2009-08-14,2009.0
Madden NFL 08,PSP,Sports,EA Sports,EA Tiburon,7.3,0.71,0.6,0.04,0.07,2007-08-14,2007.0
Madden NFL 09,PSP,Sports,EA Sports,EA Tiburon,6.9,0.71,0.65,0.0,0.06,2008-08-12,2008.0
Blast Corps,N64,Action,Nintendo,Rare Ltd.,9.1,0.71,0.39,0.09,0.06,1997-02-28,1997.0
Virtua Fighter 4: Evolution,PS2,Fighting,Sega,Sega-AM2,8.9,0.71,0.35,0.27,0.09,2003-08-13,2003.0
Mortal Kombat (2011),PSV,Fighting,Warner Bros. Interactive Entertainment,NetherRealm Studios,8.8,0.71,0.42,0.15,0.15,2012-05-02,2012.0
Godzilla: Destroy All Monsters Melee,GC,Fighting,Atari,"Pipeworks Software, Inc.",7.5,0.71,0.55,0.14,0.02,2002-10-08,2002.0
Yu-Gi-Oh! The Falsebound Kingdom,GC,Strategy,Konami,Konami,4.4,0.71,0.49,0.13,0.02,2003-11-04,2003.0
The LEGO Movie Videogame,PS4,Action-Adventure,Warner Bros. Interactive Entertainment,TT Fusion,6.0,0.71,0.26,0.32,0.11,2014-02-07,2014.0
Astro Bot Rescue Mission,PS4,Platform,Sony Interactive Entertainment,SIE Japan Studio,8.5,0.71,0.22,0.36,0.11,2018-10-02,2018.0
Spyro: Enter the Dragonfly,GC,Platform,VU Games,Equinoxe,5.0,0.71,0.55,0.14,0.02,2002-11-08,2002.0
Catherine,PS3,Puzzle,Atlus,Atlus,7.9,0.71,0.3,0.15,0.06,2011-07-26,2011.0
Conker: Live And Reloaded,XB,Action-Adventure,Microsoft Game Studios,Rare Ltd.,8.1,0.71,0.49,0.2,0.02,2005-06-21,2005.0
DiRT 3,X360,Racing,Codemasters,Codemasters,9.1,0.71,0.23,0.4,0.07,2011-05-24,2011.0
South Park,PS,Shooter,Acclaim Entertainment,Appaloosa Interactive,1.7,0.71,0.39,0.27,0.05,1999-09-30,1999.0
Doom 3: Resurrection of Evil,XB,Shooter,Activision,Nerve Software,8.2,0.71,0.53,0.15,0.03,2005-10-05,2005.0
Plants vs Zombies: Garden Warfare,XOne,Shooter,Electronic Arts,PopCap Games,7.6,0.71,0.39,0.25,0.06,2014-02-25,2014.0
LEGO Harry Potter: Years 1-4,PSP,Adventure,Warner Bros. Interactive,Traveller's Tales,7.5,0.71,0.14,0.38,0.19,2010-06-29,2010.0
Monster Hunter 3 Ultimate,WiiU,Role-Playing,Capcom,Capcom,8.7,0.71,0.24,0.2,0.04,2013-03-19,2013.0
F-14 Tomcat,GBA,Action,Majesco,Virtucraft,6.9,0.7,0.5,0.19,0.01,2001-09-02,2001.0
Mafia,PS2,Action,Gathering of Developers,Illusion Softworks,6.5,0.7,0.34,0.27,0.09,2004-01-28,2004.0
Spider-Man 2,PSP,Action,Activision,Vicarious Visions,6.4,0.7,0.35,0.21,0.14,2005-03-15,2005.0
TimeSplitters 2,PS2,Shooter,Eidos Interactive,Free Radical Design,9.1,0.7,0.34,0.27,0.09,2002-10-09,2002.0
Driver: San Francisco,X360,Racing,Ubisoft,Ubisoft Reflections,8.1,0.7,0.25,0.37,0.07,2011-09-06,2011.0
The Sims: Medieval,PC,Simulation,Electronic Arts,The Sims Studio,7.2,0.7,0.29,0.32,0.09,2011-03-22,2011.0
LEGO Rock Band,Wii,Misc,Warner Bros. Interactive,TT Games / Harmonix Music Systems,6.8,0.7,0.41,0.22,0.06,2009-11-03,2009.0
Rocksmith 2014,PC,Music,Ubisoft,Ubisoft San Francisco,9.0,0.7,0.39,0.24,0.06,2016-10-04,2016.0
Monster Hunter Stories,3DS,Role-Playing,Capcom,Marvelous,8.1,0.7,0.14,0.15,0.03,2017-09-08,2017.0
RIFT,PC,Role-Playing,Unknown,Trion Worlds,8.3,0.7,0.47,0.16,0.08,2011-03-01,2011.0
Jade Empire,XB,Role-Playing,Microsoft Game Studios,BioWare Corp.,9.0,0.7,0.48,0.19,0.03,2005-04-12,2005.0
Chocobo's Dungeon 2,PS,Role-Playing,Square EA,SquareSoft,6.2,0.7,0.04,0.03,0.05,1999-11-30,1999.0
Advance Wars,GBA,Strategy,Nintendo,Intelligent Systems,9.4,0.7,0.5,0.19,0.01,2001-09-09,2001.0
Tony Hawk's Underground,GC,Sports,Activision,Neversoft Entertainment,9.0,0.7,0.54,0.14,0.02,2003-10-27,2003.0
FIFA Soccer 11,DS,Sports,EA Sports,Exient Entertainment,7.0,0.7,0.13,0.49,0.08,2010-09-28,2010.0
Ape Escape: On the Loose,PSP,Platform,Sony Computer Entertainment,SIMS,6.6,0.7,0.52,0.01,0.05,2005-03-22,2005.0
Disney's Chicken Little,GBA,Platform,Buena Vista,A2M,7.9,0.7,0.5,0.18,0.01,2005-10-20,2005.0
Ace Attorney Investigations: Miles Edgeworth,DS,Adventure,Capcom,Capcom,7.7,0.7,0.23,0.14,0.04,2010-02-16,2010.0
NHL 12,X360,Sports,EA Sports,EA Canada,8.8,0.7,0.55,0.1,0.05,2011-09-13,2011.0
Classic NES Series: Zelda II: The Adventure of Link,GBA,Adventure,Nintendo,Nintendo EAD,6.6,0.7,0.37,0.14,0.01,2004-10-25,2004.0
Madden NFL 2005,GC,Sports,EA Sports,EA Tiburon,9.2,0.7,0.54,0.14,0.02,2004-08-09,2004.0
James Bond 007: Blood Stone,PS3,Action,Activision,Bizarre Creations,6.2,0.7,0.18,0.37,0.12,2010-11-02,2010.0
Transformers: Revenge of the Fallen,PS3,Action,Activision,Luxoflux Corp.,6.5,0.7,0.28,0.3,0.12,2009-06-23,2009.0
Mortal Kombat: Shaolin Monks,PS2,Action,Midway Games,Midway Studios Los Angeles,8.0,0.69,0.58,0.02,0.09,2005-09-16,2005.0
MotionSports,X360,Sports,Ubisoft,Ubisoft Milan,4.1,0.69,0.38,0.25,0.07,2010-11-04,2010.0
Rayman Legends,NS,Platform,Ubisoft,Ubisoft Montpellier,4.5,0.69,0.23,0.4,0.05,2017-09-12,2017.0
